Comune	Pop.residente(01/01/2019)	Dens.demografica(ab/kmq)
Lesmo	8535.00	1670.90
Levate	3765.00	683.42
Lezzeno	2050.00	101.19
Lierna	2115.00	188.82
Limbiate	35053.00	2860.48
Limido Comasco	3853.00	838.74
Limone sul Garda	1160.00	50.97
Linarolo	2833.00	215.48
Lipomo	5971.00	2587.47
Lirio	130.00	73.88
Liscate	4089.00	434.78
Lissone	46017.00	4898.34
Livigno	6636.00	28.82
Livo	171.00	5.16
Livraga	2530.00	205.16
Locate di Triulzi	10269.00	810.15
Locate Varesino	4355.00	714.21
Locatello	812.00	213.72
Lodi	45872.00	1093.60
Lodi Vecchio	7609.00	460.15
Lodrino	1673.00	101.16
Lograto	3794.00	306.82
Lomagna	5068.00	1277.47
Lomazzo	9988.00	1047.69
Lomello	2131.00	97.37
Lonate Ceppino	5029.00	1036.18
Lonate Pozzolo	11726.00	403.06
Lonato del Garda	16725.00	242.04
Longhena	571.00	167.10
Longone al Segrino	1918.00	1183.80
Losine	609.00	98.00
Lovere	5193.00	659.18
Lovero	653.00	48.81
Lozio	405.00	17.02
Lozza	1250.00	728.65
Luino	14306.00	688.09
Luisago	2724.00	1273.48
Lumezzane	22130.00	701.49
Lungavilla	2451.00	356.74
Lurago d'Erba	5366.00	1145.56
Lurago Marinone	2626.00	665.38
Lurano	2847.00	702.00
Lurate Caccivio	9846.00	1661.66
Luvinate	1330.00	333.58
Luzzana	896.00	263.13
Maccagno con Pino e Veddasca	2600.00	62.32
Maccastorna	66.00	11.84
Macherio	7509.00	2328.31
Maclodio	1472.00	289.84
Madesimo	519.00	6.04
Madignano	2838.00	264.54
Madone	4002.00	1325.51
Magasa	123.00	6.80
Magenta	24002.00	1086.98
Magherno	1705.00	327.43
Magnacavallo	1509.00	53.40
Magnago	9264.00	816.30
Magreglio	676.00	216.42
Mairago	1385.00	123.06
Mairano	3495.00	300.92
Malagnino	1719.00	159.11
Malegno	1993.00	287.35
Maleo	3098.00	157.96
Malgesso	1276.00	467.72
Malgrate	4373.00	2253.83
Malnate	16730.00	1864.68
Malonno	3150.00	101.19
Mandello del Lario	10256.00	238.00
Manerba del Garda	5370.00	146.24
Manerbio	13161.00	470.13
Mantello	747.00	202.17
Mantova	49403.00	774.35
Mapello	6825.00	790.11
Marcallo con Casone	6158.00	761.45
Marcaria	6531.00	73.40
Marcheno	4289.00	186.72
Marchirolo	3491.00	633.52
